CarModel        AgeOfCar        Price        OdoMeterReading                DealingType        GearSystem        NoOfOwners
Mahindra Bolero 2011-2019 SLX        10        500000        111000        Diesel        Direct Owner        Manual        First Owner
Skoda Laura Ambiente 2.0 TDI CR MT        11        481250        56000        Diesel        Broker        Manual        First Owner
Mahindra Bolero SLX 2WD        13        312500        194000        Diesel        Direct Owner        Manual        Fourth & Above Owner
Audi A8 4.2 TDI        10        3500000        53000        Diesel        Broker        Automatic        First Owner
Maruti 800 AC Uniq        18        81250        74000        Petrol        Direct Owner        Manual        Second Owner
Maruti Wagon R VXI BS IV        8        462500        54000        Petrol        Direct Owner        Manual        Second Owner
Fiat 500 Lounge        15        313748.75        114000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto 800 Std Optional        4        300000        9000        Petrol        Direct Owner        Manual        First Owner
Honda Jazz 1.5 VX i DTEC        6        906250        40000        Diesel        Broker        Manual        First Owner
Nissan Micra Diesel XV Premium        10        262500        17770        Diesel        Direct Owner        Manual        First Owner
Hyundai Verna 1.6 VTVT SX        8        950000        59340        Petrol        Trustmark Broker        Manual        First Owner
Maruti Swift Dzire VDI        8        612500        64000        Diesel        Direct Owner        Manual        Second Owner
Honda City 1.3 DX        20        150000        169000        Petrol        Direct Owner        Manual        Second Owner
Maruti Swift Dzire 1.2 Vxi BSIV        11        460000        94000        Petrol        Direct Owner        Manual        Second Owner
Chevrolet Spark 1.0 LS        15        93750        39000        Petrol        Direct Owner        Manual        Second Owner
Honda Amaze S i-Dtech        8        593750        114000        Diesel        Direct Owner        Manual        First Owner
Nissan Sunny XL        11        437500        44000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift Dzire VXi        12        375000        104000        Petrol        Direct Owner        Manual        Second Owner
Fiat Punto EVO 1.3 Dynamic        7        625000        39000        Diesel        Direct Owner        Manual        First Owner
Honda Jazz Select Edition Active        13        356250        64000        Petrol        Broker        Manual        Second Owner
Mahindra Alturas G4 4X2 AT BSIV        4        3375000        9000        Diesel        Direct Owner        Automatic        First Owner
Tata Indica Vista Quadrajet 90 VX        11        356250        78300        Diesel        Broker        Manual        First Owner
Maruti 800 AC        15        100000        54000        Petrol        Direct Owner        Manual        Second Owner
Mahindra XUV500 W8 2WD        10        937500        45988        Diesel        Broker        Manual        First Owner
Tata Indigo GLS        12        100000        66000        Petrol        Direct Owner        Manual        Second Owner
Maruti Zen LX        23        106250        84000        Petrol        Direct Owner        Manual        Second Owner
Toyota Innova 2.5 G (Diesel) 7 Seater        10        968750        74000        Diesel        Direct Owner        Manual        Second Owner
Maruti Swift VDI        12        356250        54000        Diesel        Direct Owner        Manual        Second Owner
Honda City 1.5 E MT        13        500000        54000        Petrol        Direct Owner        Manual        First Owner
Hyundai i20 Asta 1.4 CRDi        7        537500        84000        Diesel        Direct Owner        Manual        First Owner
Skoda Yeti Ambition 4WD        12        437500        84000        Diesel        Direct Owner        Manual        First Owner
Hyundai Verna 1.6 CRDi SX        7        775000        64000        Diesel        Direct Owner        Manual        First Owner
Ford Ecosport 1.5 DV5 MT Titanium        10        531250        76000        Diesel        Direct Owner        Manual        First Owner
Hyundai Xcent 1.1 CRDi Base        6        375000        84000        Diesel        Direct Owner        Manual        First Owner
Toyota Etios VD        9        637498.75        161000        Diesel        Direct Owner        Manual        Second Owner
Datsun RediGO 1.0 S        6        262500        19000        Petrol        Broker        Manual        Second Owner
Maruti SX4 Vxi BSIV        11        281250        114000        Petrol        Direct Owner        Manual        Second Owner
Hyundai i20 1.4 CRDi Sportz        12        401250        85257        Diesel        Broker        Manual        First Owner
Hyundai i20 1.4 Magna Executive        10        350000        56000        Diesel        Broker        Manual        First Owner
OpelCorsa 1.4 GL        21        43750        104000        Petrol        Direct Owner        Manual        Third Owner
Skoda Superb Elegance 2.0 TDI CR AT        14        443750        104000        Diesel        Direct Owner        Automatic        Second Owner
Tata Manza Aura (ABS) Safire BS IV        13        137500        81073        Petrol        Direct Owner        Manual        Second Owner
Maruti Alto LX        16        87500        124000        Petrol        Direct Owner        Manual        Third Owner
Hyundai i10 Magna        11        287498.75        53824        Petrol        Broker        Manual        First Owner
Hyundai Verna 1.6 VTVT SX        8        950000        59340        Petrol        Trustmark Broker        Manual        First Owner
Hyundai i10 Era        14        312500        54000        Petrol        Direct Owner        Manual        First Owner
Toyota Innova 2.5 G1 BSIV        11        1187500        84000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift Dzire VDI        9        475000        104000        Diesel        Direct Owner        Manual        Second Owner
Mahindra Renault Logan 1.4 GLX Petrol        15        181250        29000        Petrol        Direct Owner        Manual        First Owner
